Event Name,Runner,Score,Tournament,Winner,Year,Rank
Wimbledon,Roger Federer," 6–7(7–9), 6–4, 7–6(7–4), 5–7, 6–4",2014 Wimbledon,Novak Djokovic,2014,47
Australian Open,Andy Murray," 7–6(7-5), 6–7(4-7), 6–3, 6–0",2015 Australian Open,Novak Djokovic,2015,49
Roland Garros,Novak Djokovic,"4–6, 6–4, 6–3, 6–4",2015 Roland Garros,Stan Wawrinka,2015,50
US Open,Roger Federer,"6–4, 5–7, 6–4, 6–4",2015 US Open,Novak Djokovic,2015,52
Wimbledon,Roger Federer," 7–6(7–1), 6–7(10–12), 6–4, 6–3",2015 Wimbledon,Novak Djokovic,2015,51
Australian Open,Andy Murray,"6–1, 7–5, 7–6(7-3)",2016 Australian Open,Novak Djokovic,2016,53
Roland Garros,Andy Murray,"3–6, 6–1, 6–2, 6–4",2016 Roland Garros,Novak Djokovic,2016,54
US Open,Novak Djokovic,"6–7(1–7), 6–4, 7–5, 6–3",2016 US Open,Stan Wawrinka,2016,56
Wimbledon,Milos Raonic,"6–4, 7–6(7–3), 7–6(7–2)",2016 Wimbledon,Andy Murray,2016,55
Australian Open,Rafael Nadal,"6–4, 3–6, 6–1, 3–6, 6–3",2017 Australian Open,Roger Federer,2017,57
Roland Garros,Stan Wawrinka,"6–2, 6–3, 6–1",2017 Roland Garros,Rafael Nadal,2017,58
US Open,Kevin Anderson,"6–3, 6–3, 6–4",2017 US Open,Rafael Nadal,2017,60
Wimbledon,Marin Čilić,"6–3, 6–1, 6–4",2017 Wimbledon,Roger Federer,2017,59
Australian Open, Marin Čilić,"6–2, 6–7(5-7), 6–3, 3–6, 6–1",2018 Australian Open,Roger Federer,2018,61
Roland Garros,Dominic Thiem,"6–4, 6–3, 6–2",2018 Roland Garros,Rafael Nadal,2018,62
US Open,Juan Martín del Potro,"6–3, 7–6(7–4), 6–3",2018 US Open,Novak Djokovic,2018,64
Wimbledon,Kevin Anderson,"6–2, 6–2, 7–6(7–3)",2018 Wimbledon,Novak Djokovic,2018,63
